,sample,mu1_1,s1_1,A1_1,mu2_1,s2_1,A2_1,fneg_1,A1+A2,A_neg,fa1,mu1_2,s1_2,A1_2,mu2_2,s2_2,A2_2,fneg_2,,,fa2,mu1_3,s1_3,A1_3,mu2_3,s2_3,A2_3,fneg_3,,,fa3
61,404T_4,5.699530951,0.563765184,22308.8794,8.248917088,0.022476771,0.150218248,0.02562666,22309.02962,586.7421683,6.56096E-06,5.855771773,0.563118507,20690.24515,8.531500314,0.047216153,0.118090547,0.075597921,20690.36324,1692.065046,5.27604E-06,5.85976874,0.564728713,22591.42716,8.744920476,0.01719446,1.023630958,0.04719125,22592.45079,1118.971668,4.31704E-05
62,577_1,5.684469163,0.586255226,22782.26544,8.084920691,0.55626738,441.8620573,0.02782585,23224.1275,664.72769,0.018496577,5.856702755,0.570297052,20157.78722,8.022855733,0.42025868,149.4995804,0.076176435,20307.2868,1674.493676,0.006801068,5.875733094,0.585352766,22457.51964,8.134594319,0.338373649,100.5821566,0.048343943,22558.1018,1145.947197,0.004243248
63,577_4,5.739516503,0.588111969,23617.0415,8.506324734,0.031636894,0.298414082,0.021307101,23617.33992,514.1725631,1.23662E-05,5.897841515,0.56920988,20646.24587,8.573449393,0.026279699,3.269094173,0.066310251,20649.51496,1466.519807,0.000147816,5.916785428,0.586188617,22822.7184,8.753250511,0.09439851,0.444040234,0.04414528,22823.16244,1054.066977,1.85968E-05
64,578_1,5.772982628,0.581274437,23095.62145,8.325537712,0.339277908,46.77183813,0.019937945,23142.39329,470.7985185,0.00198075,5.921282332,0.576075154,20836.49161,8.272283696,0.209179359,10.23328937,0.064815112,20846.7249,1444.829602,0.000459066,5.927806979,0.581024361,22868.20047,8.354854095,0.233134699,9.330797436,0.041233058,22877.53127,983.8789073,0.000391041
65,578_4,5.758701348,0.584983376,23166.84984,8.405531203,0.023433404,17.75713081,0.020249118,23184.60697,479.1706241,0.000750393,5.923243248,0.564068017,20778.98633,8.783065221,0.109261476,5.016280596,0.061554328,20784.00262,1363.25986,0.000226497,5.937099307,0.589339737,22852.22862,9.003681256,0.236382292,1.232630416,0.043231615,22853.46125,1032.634506,5.16045E-05
66,405_1,6.052110358,0.682145136,14101.45188,8.759480286,0.609625039,10301.23991,0.006908019,24402.69179,169.7468713,0.419219275,6.149648226,0.583794324,18330.4209,8.524586988,0.466617973,4467.738544,0.032325416,22798.15944,761.5783308,0.189634477,6.152697675,0.597317811,18386.18428,8.556195064,0.496881141,4979.527544,0.021062894,23365.71182,502.7386372,0.20862383
67,405_2,6.075309144,0.625648151,22114.60166,8.815873854,0.500309681,1932.214422,0.007442778,24046.81608,180.3171742,0.07975415,6.169289435,0.575681313,21436.08208,8.52440093,0.38724692,1094.044936,0.03864147,22530.12702,905.5905802,0.046682801,6.16851257,0.579970505,22434.29019,8.540805376,0.401334429,819.8355142,0.020372517,23254.1257,483.597159,0.034537243
68,405_3,6.066937426,0.622012329,23658.90997,8.895259059,0.428998505,348.2014329,0.008035671,24007.1114,194.4759995,0.014387545,6.118479619,0.537998137,22518.47938,8.635207714,0.329144276,63.62223051,0.036581671,22582.10161,857.4582738,0.00271431,6.196214522,0.57393185,23155.11591,8.681107816,0.275966954,31.61890092,0.021382457,23186.73481,506.6221793,0.001334505
69,405_4,6.066610776,0.617708767,24141.74444,9.472938217,0.048921563,0.569582492,0.008109976,24142.31402,197.394448,2.34014E-05,6.130279022,0.539598597,22435.84537,9.043404975,0.274247653,2.178752023,0.037275866,22438.02412,868.7813649,9.34814E-05,6.187126065,0.569840584,23289.30694,13.63399736,0.151503777,25.14712487,0.019990412,23314.45406,475.5724308,0.001057045
70,405A_1,6.037713966,0.716436813,12220.70492,8.767692127,0.649246481,12282.19591,0.006546454,24502.90084,161.4641333,0.497973328,6.152006856,0.591289143,17435.81158,8.534203714,0.46806142,5445.90343,0.033279639,22881.71501,787.7099229,0.23008178,6.147857592,0.600219021,18030.58432,8.508889012,0.478425286,5277.185721,0.022082215,23307.77004,526.3092655,0.22141345
71,405A_2,6.067592834,0.634361226,21159.12703,8.82274323,0.540667183,2947.179824,0.007282041,24106.30685,176.8308035,0.12136734,6.166652179,0.574583429,21516.78647,8.573362623,0.387556634,957.0933411,0.038806186,22473.87981,907.3357952,0.040934285,6.196913727,0.597227391,22330.93073,8.537767936,0.407845454,966.6966441,0.019474629,23297.62737,462.7240185,0.040685284
72,405A_3,6.075828568,0.625245501,23565.86972,8.951820223,0.567877229,587.0181649,0.006207459,24152.88788,150.8645566,0.024153396,6.203346647,0.580669432,22635.37856,8.77003236,0.240871779,13.83057441,0.034348402,22649.20913,805.6364684,0.000589668,6.219486676,0.586959486,23261.6964,8.679969336,0.326715189,57.72439459,0.018951503,23319.42079,450.4752511,0.002428466
73,405A_4,6.077565631,0.620344306,24139.86766,9.12036421,0.050358203,0.140323109,0.007151644,24140.00798,173.8842968,5.77131E-06,6.210376179,0.578389802,22750.86558,9.086880281,0.192827288,1.439405269,0.032509847,22752.30499,764.5286616,6.12074E-05,6.242065774,0.581272268,20997.10533,9.560524266,0.148110951,0.458082968,0.018559168,20997.56342,397.0665422,2.14111E-05
